Permit,Region,Land Owner,Unit,Legal,Acres,Proposed Tons,Accomplished Tons,Approval,Comments,datestamp,Latitude,Longitude,DNR_Pilot,datetime
10002299,GIFFORD PINC,MT ADAMS,SAWTOOTH UNIT 10A,T7N R8E S23,55,1200,0,Y,NA,09-01-2016,46.317778,-121.9025,NA,2016-09-01T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/2/2016.,09-02-2016,,,FALSE,2016-09-02T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/3/2016.,09-03-2016,,,FALSE,2016-09-03T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/4/2016.,09-04-2016,,,FALSE,2016-09-04T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/5/2016.,09-05-2016,,,FALSE,2016-09-05T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/6/2016.,09-06-2016,,,FALSE,2016-09-06T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/7/2016.,09-07-2016,,,FALSE,2016-09-07T07:00:00Z
10002239,WENATCHEE NF,WENATCHEE RIVER,FISHLOOP UNDERBURNS,T27N R17E S25,0,960,1109,Y,Use cutoffs to mitigate smoke impacts,09-08-2016,47.8038,-120.6538,FALSE,2016-09-08T07:00:00Z
NA,NA,NA,NA,NA,NA,NA,NA,NA,No smoke management request approvals for 9/9/2016.,09-09-2016,,,FALSE,2016-09-09T07:00:00Z
NE20140310,NE REGION,DNR - NORTHEAST REGION,NA,T39N R37E S34,20,200,NA,NA,NA,09-10-2016,48.835631,-118.095826,NA,2016-09-10T07:00:00Z
NE20140310,NE REGION,DNR - NORTHEAST REGION,NA,T39N R37E S34,40,110,NA,NA,NA,09-11-2016,48.835631,-118.095826,NA,2016-09-11T07:00:00Z
10002239,WENATCHEE NF,WENATCHEE RIVER,FISHLOOP UNDERBURNS,T27N R17E S25,80,640,1622,Y,Use cutoffs as needed,09-12-2016,47.8038,-120.6538,FALSE,2016-09-12T07:00:00Z
