Time,Conc(ug/m3),Qtot(m3),AT(C),WS(MPS),no(V),RH(%),Delta(C),AT(C),E,U,M,I,L,R,N,F,P,D,C,T,
08/21/18 10:00,     51, 0.834,  30.4,   2.3, 0.009,    17,  37.0,  22.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 11:00,     38, 0.834,  31.0,   2.3, 0.009,    15,  37.0,  25.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 12:00,     43, 0.834,  31.3,   2.3, 0.009,    14,  37.0,  27.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 13:00,     45, 0.834,  31.5,   2.3, 0.009,    14,  37.0,  27.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 14:00,     40, 0.834,  31.7,   2.3, 0.009,    14,  37.0,  29.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 15:00,     48, 0.834,  31.9,   2.3, 0.009,    14,  37.0,  29.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 16:00,     45, 0.834,  31.7,   2.3, 0.009,    14,  36.9,  29.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 17:00,     44, 0.834,  31.4,   2.3, 0.009,    14,  36.9,  29.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 18:00,     45, 0.834,  31.1,   2.3, 0.009,    15,  37.0,  28.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 19:00,     45, 0.834,  30.4,   2.3, 0.009,    16,  37.0,  24.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 20:00,     46, 0.834,  29.8,   2.3, 0.009,    17,  37.0,  21.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 21:00,     52, 0.834,  29.4,   2.2, 0.009,    20,  37.1,  15.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 22:00,     46, 0.834,  29.6,   2.2, 0.009,    20,  37.1,  13.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/18 23:00,     51, 0.834,  29.0,   2.2, 0.009,    20,  37.1,  11.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 00:00,     51, 0.834,  28.0,   2.2, 0.009,    21,  37.1,  10.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 01:00,     54, 0.834,  26.8,   2.2, 0.009,    22,  37.2,   8.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 02:00,     46, 0.834,  25.7,   2.1, 0.009,    22,  37.3,   8.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 03:00,     45, 0.834,  24.7,   2.1, 0.009,    23,  37.4,   7.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 04:00,     55, 0.834,  25.4,   2.1, 0.009,    24,  37.4,   6.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 05:00,     52, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   5.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 06:00,     49, 0.834,  25.6,   2.1, 0.009,    23,  37.4,   5.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 07:00,     47, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   7.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 08:00,     63, 0.834,  27.8,   2.2, 0.009,    22,  37.2,  13.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 09:00,     51, 0.834,  29.7,   2.2, 0.009,    17,  37.0,  19.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 10:00,     50, 0.834,  30.2,   2.3, 0.009,    16,  37.0,  21.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 11:00,     42, 0.834,  30.8,   2.3, 0.009,    15,  37.0,  25.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 12:00,     41, 0.834,  31.3,   2.3, 0.009,    14,  37.0,  27.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 13:00,     39, 0.834,  31.6,   2.3, 0.009,    13,  37.0,  29.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 14:00,     35, 0.834,  31.8,   2.3, 0.009,    12,  37.0,  30.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 15:00,     34, 0.834,  31.7,   2.3, 0.009,    11,  37.0,  30.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 16:00,     31, 0.834,  31.5,   2.3, 0.009,    12,  36.9,  30.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/22/18 17:00,     37, 0.834,  31.2,   2.3, 0.009,    12,  36.9,  29.8,0,0,0,0,0,0,0,0,0,0,0,0,
