Time,Conc (mg/m3)
2018-05-09 11:00:00,0.003
2018-05-09 12:00:00,0.001
2018-05-09 13:00:00,0
2018-05-09 14:00:00,0.003
2018-05-09 15:00:00,0.003
2018-05-09 16:00:00,0.006
2018-05-09 17:00:00,0.004
2018-05-09 18:00:00,0.002
2018-05-09 19:00:00,0.001
2018-05-09 20:00:00,-0.001
2018-05-09 21:00:00,0
2018-05-09 22:00:00,0.003
2018-05-09 23:00:00,0.003
2018-05-10 00:00:00,0.001
2018-05-10 01:00:00,0.001
2018-05-10 02:00:00,0.002
2018-05-10 03:00:00,0.003
2018-05-10 04:00:00,0.003
2018-05-10 05:00:00,-0.002
2018-05-10 06:00:00,-0.002
2018-05-10 07:00:00,0.001
2018-05-10 08:00:00,0.001
2018-05-10 09:00:00,0
2018-05-10 10:00:00,0.001
2018-05-10 11:00:00,0.002
2018-05-10 12:00:00,0.001
2018-05-10 13:00:00,0.001
2018-05-10 14:00:00,-0.003
2018-05-10 15:00:00,0.001
